schema,table,column,no,relation_table_schema,relation_table,relation_column,constraint_name
public,tables,id,1,public,columns,table_id,fk_rails_8dd6d1aa4d
public,users,id,1,public,companies,owner_id,fk_rails_5ab5ec3338
public,projects,id,1,public,groups,project_id,fk_rails_19a2103fc3
public,users,id,1,public,groups,user_id,fk_rails_5e78cd340a
public,users,id,1,public,invitations,user_id,fk_rails_7eae413fe6
public,companies,id,1,public,invitations,company_id,fk_rails_f16e5a18d7
public,users,id,1,public,invitations,invitee_id,fk_rails_00204dc74b
public,items,item_code,1,public,orders,item_code,orders_item_code_fkey
public,items,item_name,2,public,orders,item_name,orders_item_code_fkey
public,users,id,1,public,projects,user_id,fk_rails_b872a6760a
public,companies,id,1,public,projects,company_id,fk_rails_44a549d7b3
public,tables,id,1,public,relationships,relation_table_id,fk_rails_27bfe53301
public,projects,id,1,public,relationships,project_id,fk_rails_9559da9f6a
public,tables,id,1,public,relationships,table_id,fk_rails_e060d907e6
public,columns,id,1,public,relationships,column_id,fk_rails_d31c58270a
public,columns,id,1,public,relationships,relation_column_id,fk_rails_7edb3f615c
public,users,id,1,public,sql_files,user_id,fk_rails_e31f8b763f
public,projects,id,1,public,sql_files,project_id,fk_rails_461ec927ba
public,groups,id,1,public,tables,group_id,fk_rails_0d7fe586fd
public,projects,id,1,public,tables,project_id,fk_rails_ddc1f84e13
public,companies,id,1,public,users,company_id,fk_rails_7682a3bdfe
